Date,August 2017
Institution,Total Banks
Form Type,BA120-BA120
Values are in R'000 (thousands)

Table 01
"Description of item",,
"Interest and similar income (total of items 2~ 3 and 14~ less item 15)",001,31839351
"Shortterm negotiable securities",002,1735296
"Loans and advances to customers (total of items 4 to 13)",003,28738589
"Homeloans",004,7585763
"Commercial mortgages",005,2316837
"Credit cards",006,1518352
"Lease and instalment debtors",007,3553216
"Overdrafts",008,1863887
"Redeemable preference shares and other equivalent instruments issued to provide credit",009,430063
"Trade~ other bills and bankers' acceptances",010,69791
"Term loans",011,7137723
"Factoring accounts",012,110906
"Other",013,4152051
"Government and other dated securities",014,1974474
"Less: interest income on trading assets allocated to trading revenue",015,609008
"Interest expense and similar charges (total of items 17~ 25 and 26~ less item 27)",016,18858571
"Deposits~ current accounts and other (total of items 18 to 20~ 23 and 24)",017,19662744
"Current accounts",018,2334564
"Savings deposits",019,891479
"Term and other deposits (total of items 21 and 22)",020,11080046
"Fixed and notice deposits",021,8205133
"Other",022,2874912
"Negotiable certificates of deposit",023,3638302
"Other deposits and loans",024,1718353
"Other liabilities",025,110239
"Term debt instruments",026,1261625
"Less: interest expense on trading liabilities allocated to trading revenue",027,2176036
"Net Interest Income (item 1 less item 16)",028,12980781
Table 02
"Description of item",,
"Fee and commission income (total of items 30 to 35)",029,8349487
"Service charges",030,6529227
"Insurance commission",031,299791
"Exchange commission",032,285505
"Guarantees",033,83914
"Knowledge based fees",034,282817
"Other",035,868236
"Fee and commission expense (total of items 37 and 38)",036,1276942
"Brokerage fees paid",037,29517
"Other fees paid",038,1247425
"Net fee and commission income (item 29 less item 36)",039,7072545
"Net insurance premium revenue (total of items 41 and 42)",040,76665
"Insurance premium revenue",041,
"Insurance premium ceded to reinsurers",042,
"Net reinsurance income (total of items 44 and 45)",043,-866
"Gross claims and benefits paid on insurance",044,
"Reinsurance recoveries",045,
"Dividend income (total of items 47 and 48)",046,655433
"Subsidiary companies",047,567159
"Other",048,88275
"Net trading income / (loss) (total of items 50 to 55)",049,2076490
"Foreign exchange",050,360576
"Debt securities",051,-559581
"Commodities",052,153123
"Derivative instruments",053,370342
"Equities",054,902862
"Other",055,849167
"Other gains less losses (total of items 57 to 60)",056,801008
"Fair value gains and losses through profit and loss",057,762124
"Fair value gains and losses on insurance liabilities",058,0
"Profit/ (loss) on sale of availableforsale assets",059,1384
"Impairment of availableforsale equity securities",060,37500
"Other operating income / (loss) (total of items 62 and 63)",061,246970
"Rental income",062,185545
"Other",063,61426
"Non Interest revenue (total of items 39~ 40~ 43~ 46~ 49~ 56 and 61)",064,10928247
"Gross operating income / (loss) (total of items 28 and 64)",065,23909027
Table 03
"Description of item",,
"Credit losses",066,2559704
"Operating expenses (total of items 68 to 76)",067,13661624
"Staff",068,7825115
"Computer processing",069,1493085
"Communication and travel",070,482869
"Occupation and accommodation",071,985388
"Marketing",072,495115
"Fees and insurances",073,856485
"Office equipment and consumables",074,391999
"Auditors remuneration",075,64164
"Other",076,1067408
"Indirect taxation",077,359234
"Operating profit / (loss) before nontrading and capital items (item 65 less items 66~ 67 and 77)",078,7328463
"Nontrading and capital items (total of items 80 to 83)",079,-1257
"Goodwill (impairment / realisation)",080,0
"Impairment of investments",081,0
"Impairment of property and equipment~ software and other",082,-12429
"Other nontrading and capital items",083,11172
"Share of profit / (loss) of associates and joint ventures",084,80364
"Profit / (loss) before income tax (total of items 78~ 79 and 84)",085,7407570
"Direct taxation",086,1595052
"Profit / (loss) for the year (item 85 less 86)",087,5812518
"Equity holders of the company",088,5544799
"Preference shareholders and minority shareholders interest",089,119184
"Interest received on interest bearing loans and advances as reported on line 126 of BA100",090,28463153
"Interest paid on interest bearing deposits as reported on line 127 of BA100",091,21611898
