Date,April 2018
Institution,Total Banks
Form Type,BA120-BA120
Values are in R'000 (thousands)

Table 01
"Description of item",,
"Interest and similar income (total of items 2~ 3 and 14~ less item 15)",001,31432093
"Shortterm negotiable securities",002,1835391
"Loans and advances to customers (total of items 4 to 13)",003,28256167
"Homeloans",004,7140428
"Commercial mortgages",005,2281705
"Credit cards",006,1486515
"Lease and instalment debtors",007,3527268
"Overdrafts",008,1871539
"Redeemable preference shares and other equivalent instruments issued to provide credit",009,471062
"Trade~ other bills and bankers' acceptances",010,74668
"Term loans",011,6867750
"Factoring accounts",012,126278
"Other",013,4408956
"Government and other dated securities",014,1951765
"Less: interest income on trading assets allocated to trading revenue",015,611229
"Interest expense and similar charges (total of items 17~ 25 and 26~ less item 27)",016,18452386
"Deposits~ current accounts and other (total of items 18 to 20~ 23 and 24)",017,18641810
"Current accounts",018,2405649
"Savings deposits",019,887441
"Term and other deposits (total of items 21 and 22)",020,10185406
"Fixed and notice deposits",021,7507968
"Other",022,2677438
"Negotiable certificates of deposit",023,3537889
"Other deposits and loans",024,1625425
"Other liabilities",025,248008
"Term debt instruments",026,1284433
"Less: interest expense on trading liabilities allocated to trading revenue",027,1721864
"Net Interest Income (item 1 less item 16)",028,12979707
Table 02
"Description of item",,
"Fee and commission income (total of items 30 to 35)",029,8836384
"Service charges",030,6812802
"Insurance commission",031,279382
"Exchange commission",032,286251
"Guarantees",033,88407
"Knowledge based fees",034,387620
"Other",035,981922
"Fee and commission expense (total of items 37 and 38)",036,1393904
"Brokerage fees paid",037,12683
"Other fees paid",038,1381222
"Net fee and commission income (item 29 less item 36)",039,7442480
"Net insurance premium revenue (total of items 41 and 42)",040,86666
"Insurance premium revenue",041,
"Insurance premium ceded to reinsurers",042,
"Net reinsurance income (total of items 44 and 45)",043,0
"Gross claims and benefits paid on insurance",044,
"Reinsurance recoveries",045,
"Dividend income (total of items 47 and 48)",046,1133541
"Subsidiary companies",047,1049032
"Other",048,84509
"Net trading income / (loss) (total of items 50 to 55)",049,1789509
"Foreign exchange",050,1180714
"Debt securities",051,550892
"Commodities",052,523421
"Derivative instruments",053,-809777
"Equities",054,309190
"Other",055,35071
"Other gains less losses (total of items 57 to 60)",056,-9381
"Fair value gains and losses through profit and loss",057,-55988
"Fair value gains and losses on insurance liabilities",058,0
"Profit/ (loss) on sale of availableforsale assets",059,46607
"Impairment of availableforsale equity securities",060,0
"Other operating income / (loss) (total of items 62 and 63)",061,571692
"Rental income",062,190469
"Other",063,381223
"Non Interest revenue (total of items 39~ 40~ 43~ 46~ 49~ 56 and 61)",064,11014505
"Gross operating income / (loss) (total of items 28 and 64)",065,23994214
Table 03
"Description of item",,
"Credit losses",066,2798051
"Operating expenses (total of items 68 to 76)",067,13143343
"Staff",068,7756192
"Computer processing",069,1411156
"Communication and travel",070,377772
"Occupation and accommodation",071,1010930
"Marketing",072,554857
"Fees and insurances",073,526756
"Office equipment and consumables",074,394461
"Auditors remuneration",075,69520
"Other",076,1041698
"Indirect taxation",077,305678
"Operating profit / (loss) before nontrading and capital items (item 65 less items 66~ 67 and 77)",078,7747141
"Nontrading and capital items (total of items 80 to 83)",079,-37172
"Goodwill (impairment / realisation)",080,0
"Impairment of investments",081,0
"Impairment of property and equipment~ software and other",082,-9433
"Other nontrading and capital items",083,-27739
"Share of profit / (loss) of associates and joint ventures",084,6480
"Profit / (loss) before income tax (total of items 78~ 79 and 84)",085,7716449
"Direct taxation",086,1640902
"Profit / (loss) for the year (item 85 less 86)",087,6075548
"Equity holders of the company",088,6007784
"Preference shareholders and minority shareholders interest",089,856
"Interest received on interest bearing loans and advances as reported on line 126 of BA100",090,27542256
"Interest paid on interest bearing deposits as reported on line 127 of BA100",091,18496681
